"emp_id","emp_title","emp_length"
86,"village of solvay dpw","10+ years"
87,"Gideon Toal/U.P.R Inc.","10+ years"
88,"City of West St Paul","10+ years"
89,"Harris County","10+ years"
90,"LSU MEDICAL CENTER OF LOUISIANA","10+ years"
91,"ABERDEEN TWSP","10+ years"
92,"Micros Systems Inc.","10+ years"
93,"Arkansas Department Of Correction","10+ years"
94,"Kroger","10+ years"
95,"Alliance Data Systems","10+ years"
96,"City of Madisonville","10+ years"
97,"RCCG - Victory Temple","10+ years"
98,"Atkins and Pearce","10+ years"
99,"Orchard Supply Hardware","10+ years"
100,"Custom Phone Inc","10+ years"
101,"Greif LLC","10+ years"
102,"Girard Engineering","10+ years"
103,"AT&T","10+ years"
104,"City of Chicago","10+ years"
105,"Downey welding","10+ years"
106,"Accenture","2 years"
107,"Corvirtus","2 years"
108,"Cricket Communications","2 years"
109,"walmart distribution","2 years"
110,"California Department of Justice","3 years"
111,"Mesa Fire Department","3 years"
112,"Ares Inc.","3 years"
113,"Lonza Inc","3 years"
114,"Rummel  Klepper  and  Kahl","3 years"
115,"Aramark","4 years"
116,"Sarasota Memorial Hospital","4 years"
117,"Jefferson Lewis BOCES","4 years"
118,"Fairfax County Govt.","4 years"
119,"Perot Systems","4 years"
120,"Martin County School District","4 years"
121,"Sacramento Child Advocates","4 years"
122,"City of Richmond","5 years"
123,"Le Clos","5 years"
124,"Bellevue School District","5 years"
125,"American Home Shield","5 years"
126,"ST Microelectronics","5 years"
127,"US Air Force","5 years"
128,"Agusta Westland","5 years"
129,"faztec industries","6 years"
130,"Washoe County School District","6 years"
131,"Classic Center","6 years"
132,"Templeton Steel","6 years"
133,"NYS Dept. of Environmental Conservation","7 years"
134,"Centurylink","7 years"
135,"J.F. Shea Co., Inc.","7 years"
136,"Hunter Industries","8 years"
137,"Carolina Engine","8 years"
138,"Stafford Family Chiropractic, LLC","8 years"
139,"Vitas Healthcare Corp.","8 years"
140,"mary washington hospital","8 years"
141,"Town of Apple Valley","9 years"
142,"Townsend Design","9 years"
143,"Astrazeneca Pharmaceuticals","9 years"
144,"Tri-River Design & Construction","< 1 year"
145,"AMG Imaging Supplies","< 1 year"
146,"College of Westchester","< 1 year"
147,"AT&T","10+ years"
148,"Harvard University","3 years"
149,"primus express inc","5 years"
150,"E-Z-GO, Textron","1 year"
151,"ETMC Carthage","1 year"
152,"Florida Farm Bureau Insurance Company","1 year"
153,"Graham Packaging Inc.","1 year"
154,"Prince William County Schools","10+ years"
155,"Alliance Datg","10+ years"
156,"Hodgdon Powder Company,  Inc.","10+ years"
157,"Metropolitan Museum of Art","10+ years"
158,"Sarnoff Corporation","10+ years"
159,"IRS","10+ years"
160,"Champion Industries-CPC Printing","10+ years"
161,"Oncology Specialists","10+ years"
162,"Finley Hospital","10+ years"
163,"Welborn Floral","10+ years"
164,"TrueNorth Insurance Companies","2 years"
165,"Vogel Plumbing","2 years"
166,"control point assoc","2 years"
167,"Interfaith Medical Center","2 years"
168,"Larry Grayson Trucking","3 years"
169,"K&K  TRANSPORT SERVICES","3 years"
170,"New York State DEC","3 years"
171,"D4D Technologies","3 years"
172,"Onyx Power","4 years"
173,"Storms Ford Lincoln","4 years"
174,"van galder bus co.","4 years"
175,"Canyon View Vineyard Church","5 years"
176,"Peak CMS","5 years"
177,"american sugar refining","5 years"
178,"STATE FARM INSURANCE","5 years"
179,"Coilcraft","5 years"
180,"S.P. Richards","5 years"
181,"altona correctional","6 years"
182,"Town of Cheektowaga","6 years"
183,"State of Missouri","6 years"
184,"Avocent Corp","6 years"
185,"Porsche Cars N.A","7 years"
186,"Compleat Restorations","7 years"
187,"American Home Shield","7 years"
188,"Indus Corporation","< 1 year"
189,"NYC TRANSIT","< 1 year"
190,"S&S Tire","10+ years"
191,"Eye care centers of america","3 years"
192,"Dematic Corp.","7 years"
193,"Self-employed","10+ years"
194,"NY State","10+ years"
195,"BP Corporation North America","1 year"
196,"TEMPLE INLAND","10+ years"
197,"Farrar Corp","10+ years"
198,"Lee's Summit Schools","10+ years"
199,"CareFusion","3 years"
200,"TransPac Aviation Academy","3 years"
201,"TIAA-CREF","3 years"
202,"Holland Hart LLP","3 years"
203,"TTUHSC","3 years"
204,"Universal Punch Corp.","6 years"
205,"Executive Jet Management","6 years"
206,"valley Plating","8 years"
207,"Cypress-Fairbanks ISD","9 years"
208,"Fleetwood Goldcowyard","1 year"
209,"USA Properties Fund","10+ years"
210,"Tony Pai LLC","2 years"
211,"Ideosity, Inc.","2 years"
212,"AEP","2 years"
213,"ConnectGO Internet Inc","4 years"
214,"st joseph","5 years"
215,"Westlake Chemical Company","7 years"
216,"DDI","8 years"
217,"Shick USA","< 1 year"
218,"United Natural Food Inc","< 1 year"
219,"EvolveIP","1 year"
220,"Murphy's Mountain Jewelers","10+ years"
221,"city of hoquiam","5 years"
222,"L-3 Communications","5 years"
223,"Standex Engraving LLC","10+ years"
224,"City of Rio Rancho","10+ years"
225,"Broward County","10+ years"
226,"Leslie Equipment Co.","10+ years"
227,"YUMA COUNTY","10+ years"
228,"Prudential","2 years"
229,"excell co.","2 years"
230,"Quality Carriers","2 years"
231,"Northwood Manufacturing","3 years"
232,"med plus staffing","3 years"
233,"Cosmo Films","3 years"
234,"Swagelok","4 years"
235,"Verizon Federal, Inc.","5 years"
236,"Polychem","6 years"
237,"Applebee's","8 years"
238,"Cork, Hill and Company, L.L.C.","9 years"
239,"carolina health care","2 years"
240,"","1 year"
241,"Advance Auto Parts","10+ years"
242,"The American Sugar Refiining Co","10+ years"
243,"Countryside Animal Hospital","10+ years"
244,"B N S F Railroad","10+ years"
245,"Mt. Olive Twp","4 years"
246,"","9 years"
247,"San Antonio Fire Department","1 year"
248,"Nutricap Labs","5 years"
249,"South San Francisco Fire Department","7 years"
250,"Cudd Energy Services","9 years"
251,"TSI CORP","3 years"
252,"Food Lion","8 years"
253,"Johnson & Johnson","10+ years"
254,"Data Doctors","3 years"
255,"West Ottawa Public Schools","10+ years"
256,"John Muir Health","2 years"
257,"Horace Mann Insurance","8 years"
258,"I-many, Inc.","6 years"
259,"city of dixon","9 years"
260,"tyco electronics","2 years"
261,"dish network","2 years"
262,"Prostar Packaging","< 1 year"
263,"Agile1 Inc.","< 1 year"
264,"walmart","< 1 year"
265,"Penn United Technologies","8 years"
266,"Hennes Services, Inc.","3 years"
267,"Ingles Markets","6 years"
268,"Floor Productions llc","9 years"
269,"NexTier Bank","6 years"
270,"PHILIP MORRIS","10+ years"
271,"J&K Fleas An'Tiques","10+ years"
272,"Frontier Telephone","10+ years"
273,"lucky eagle casino","10+ years"
274,"Hacienda La Puente USD","5 years"
275,"city of yuma","1 year"
276,"Babcock, Langbein and Co","10+ years"
277,"schneider national carriers","10+ years"
278,"L3 Communcations C.P.S.","10+ years"
279,"Amerigas","10+ years"
280,"KOIKE ARONSON INC","10+ years"
281,"medlab","3 years"
282,"william edwards","3 years"
283,"Apple Rehab of Old Saybrook","4 years"
284,"medx billing services","5 years"
285,"Capps Ag Center","6 years"
286,"Attila Contractor","7 years"
287,"Rialto Theater","7 years"
288,"Town Of Stoneham Police Dept","7 years"
289,"flexsol","8 years"
290,"Sysco, Inc","< 1 year"
291,"Octapharma","< 1 year"
292,"the automaster","10+ years"
293,"houston Cold Freight","5 years"
294,"HARPER ELECTRI CONSTRUCTION","6 years"
295,"Colorado Mountain College","< 1 year"
296,"Fidelity Investments","10+ years"
297,"Steel-T Heating Inc.","10+ years"
298,"UFCW Local 27","10+ years"
299,"Garratt Callahan","5 years"
300,"","< 1 year"
301,"BNP Paribas","5 years"
302,"Customized Distribution Services","4 years"
303,"","10+ years"
304,"interstate brands corp.","4 years"
305,"VA GI Bill Education","6 years"
306,"","10+ years"
307,"mercy college","3 years"
308,"Scooter Paints","5 years"
309,"","< 1 year"
310,"L3 Communications C.P.S.","10+ years"
311,"the back doctor","2 years"
312,"Walmart","3 years"
313,"Mumm Napa","7 years"
314,"UCF","10+ years"
315,"Graphics Packaging","2 years"
316,"Town of Seneca Falls Highway","< 1 year"
317,"","10+ years"
318,"","10+ years"
319,"","10+ years"
320,"Nicholson MFG","7 years"
321,"Aquinas Academy","< 1 year"
322,"McOpCo","2 years"
323,"Dr. Demartino","< 1 year"
324,"ICR","< 1 year"
325,"Marie Welshinger","1 year"
326,"MH Consulting Services","1 year"
327,"Fisher Asset Management LLC","1 year"
328,"State of Washington Dept of Corrections","1 year"
329,"Roanoke City","1 year"
330,"2Dialog","1 year"
331,"CentrAlert","1 year"
332,"Newark Board of Education","1 year"
333,"kamco supply corp of new england","10+ years"
334,"pss","10+ years"
335,"","10+ years"
336,"escambia county board of county commissi","10+ years"
337,"DR, Inc.","2 years"
338,"ArtsFund","2 years"
339,"Stainless Sales Corporation","2 years"
340,"Great southwestern construction","2 years"
341,"International Education","2 years"
342,"Improvement Direct","2 years"
343,"Compusearch","2 years"
344,"TeleNav","2 years"
345,"Psychology Software Tools, Inc","2 years"
346,"Impact Technologies, LLC","2 years"
347,"baystate builders","2 years"
348,"CONNSACS, Inc.","3 years"
349,"Panasonic Avionics Corporation","3 years"
350,"Turner Broadcasting","3 years"
351,"Mediatech, Inc.","3 years"
352,"The Capital Group","3 years"
353,"United States Patent and Trademark Office","3 years"
354,"Booz & Company","4 years"
355,"KTG, Inc.","4 years"
356,"tire kingdom","4 years"
357,"Walmart","4 years"
358,"","4 years"
359,"somerset county","4 years"
360,"After Cool Fitness","4 years"
361,"Tops Markets","5 years"
362,"Autozone","5 years"
363,"WENDOH Media","5 years"
364,"Waste Management","5 years"
365,"Abc Supply Co. Inc","6 years"
366,"City of Lebanon","6 years"
367,"wny urology associates","6 years"
368,"PPG Industries, Inc.","6 years"
369,"Ocean Spray Cranberries, Inc.","6 years"
370,"Mac Brown Excavating","6 years"
371,"Table Mountain Rancheria","8 years"
372,"columbia pictures industries inc","8 years"
373,"NetApp","9 years"
374,"BR Instrument Corp","9 years"
375,"Broad and Lehigh Pharmacy","9 years"
376,"Lockheed Martin Corp.","< 1 year"
377,"Small World Preschool","< 1 year"
378,"South Pacific Financial","< 1 year"
379,"Goodman Manufacturing","< 1 year"
380,"Inmotion Hosting","< 1 year"
381,"Zwingli United Church of Christ","< 1 year"
382,"City of Troy","< 1 year"
383,"Hagerman & Company","2 years"
384,"Fire and Life Safety America","9 years"
385,"Hennepin County","1 year"
386,"Tyson Foods, Inc.","1 year"
387,"Cheesecake Factory","1 year"
388,"State Of California","1 year"
389,"State of Oregon","10+ years"
390,"Marin Community College District","10+ years"
391,"IBIS Advisors Co.","2 years"
392,"Zuccareli's","2 years"
393,"EÂ² Inc.","2 years"
394,"Valley Regional Medical Center","2 years"
395,"Rice University - School of Music","3 years"
396,"","3 years"
397,"walmart","9 years"
398,"Cruses-n-More","< 1 year"
399,"Robinson Helicopter","< 1 year"
400,"","< 1 year"
401,"Salamander Fire Protection","< 1 year"
402,"Millenium Partners","< 1 year"
403,"A&N International","< 1 year"
404,"Pcdata","2 years"
405,"supplemental healthcare","2 years"
406,"metlife","2 years"
407,"Ticketmaster","5 years"
408,"Hawaii Agriculture Research Center","6 years"
409,"Cooks Cleaning","6 years"
410,"BBVA Compass","< 1 year"
411,"","< 1 year"
412,"Mattingly Electric","< 1 year"
413,"LAYTON MANUFACTRING","10+ years"
414,"ira mast","9 years"
415,"Idyllwild Arts Foundation","1 year"
416,"Firsthealth of the carolinas","1 year"
417,"Specialty Sports Venture (Vail Resorts)","4 years"
418,"Virginia Military Institute","7 years"
419,"The University of Chicago","< 1 year"
420,"mercury insurance","4 years"
421,"UPMC Centers for Rehab Services","1 year"
422,"Anika Therapeutics","1 year"
423,"PC Richard and Son","1 year"
424,"Creative Concrete Solutions","1 year"
425,"CBS","1 year"
426,"Kaiser Permanente","10+ years"
427,"Mcdonalds","2 years"
428,"TERC","2 years"
429,"Apple Inc","2 years"
430,"Citrus Health and Rehab","3 years"
431,"Ronald S. Haft","3 years"
432,"Barclays Capital","3 years"
433,"inet","5 years"
434,"1st Class Sleep Diagnostics, Inc.","5 years"
435,"wells fargo bank`","6 years"
436,"Stanley Access Technologies","6 years"
437,"Datasoft Inc.","6 years"
438,"Ring Power","< 1 year"
439,"Linkus (Contracted)","< 1 year"
440,"Car Quest","< 1 year"
441,"United BMW of Roswell","7 years"
442,"u.s. security assoiciates inc","9 years"
443,"Miami Dade Corrections and Rehabilitatio","1 year"
444,"Arthur J Gallagher","1 year"
445,"Venue Security Corp","1 year"
446,"Boston College","10+ years"
447,"Nationwide Mutual Insurance Company","3 years"
448,"Trc Staffing","3 years"
449,"Boykin Transport","4 years"
450,"TNT POOL SERVICE","4 years"
451,"QPS LLC","5 years"
452,"city of miami beach","5 years"
453,"fritz plumbing","5 years"
454,"Chicago Transit Authority","5 years"
455,"Six to Eight Inc","5 years"
456,"Christian Coalition of Florida","7 years"
457,"Valley Learning Center","9 years"
458,"M&K II","< 1 year"
459,"Southwestern Company","< 1 year"
460,"Backcountry.com","< 1 year"
461,"Wells Fargo Advisors","< 1 year"
462,"TW&C","< 1 year"
463,"new york city marshal","6 years"
464,"Military","9 years"
465,"Northrop Grumman","1 year"
466,"US Security Associates","1 year"
467,"Houston Fire Dept.","3 years"
468,"Oakley","3 years"
469,"Doctor's Ambulance Service","3 years"
470,"pizza inn","4 years"
471,"the severn group","5 years"
472,"hot chocolate sparrow","5 years"
473,"Door Pro America","< 1 year"
474,"","< 1 year"
475,"Harris Corporation","2 years"
476,"","1 year"
477,"USAF","10+ years"
478,"coastal tec","10+ years"
479,"brittany farms health center","3 years"
480,"US Cellular","4 years"
481,"Guardian Fiberglass","8 years"
482,"Owens-Illinois","1 year"
483,"cheesecake factory","1 year"
484,"pitman company","10+ years"
485,"charrette pitman","10+ years"
486,"CORNELL COMPANIES","2 years"
487,"Georgia Tech","3 years"
488,"star trucking","6 years"
489,"RENO Hardware & Supply, Inc.","6 years"
490,"The Grafton","7 years"
491,"Stanford University","7 years"
492,"New Orleans Hornets","< 1 year"
493,"centria","9 years"
494,"Patrick Buick GMC","1 year"
495,"Elan Pharma via Bayside Solutions","1 year"
496,"Hyatt Vi","2 years"
497,"Apple, Inc.","2 years"
498,"Myself--Childcare","2 years"
499,"TCBY","2 years"
500,"ShatzmanBaker, PC","4 years"
501,"Wegmans Food Markets","5 years"
502,"Vera Reporting","4 years"
503,"RES Health Care","< 1 year"
504,"Colorstyle Incorporated","10+ years"
505,"Walgreens","2 years"
506,"Capital One Financial","3 years"
507,"Gunnison County Electric Association","4 years"
508,"Convergys","5 years"
509,"ECC Capital Corporation","7 years"
510,"City of Tempe","4 years"
511,"Global Quality Trade","1 year"
512,"The Security Title Guarantee Corporation","1 year"
513,"The Polyclinic","2 years"
514,"Law Offices of Sandy Lipkin","3 years"
515,"Linebarger Goggan Blair & Sampson","7 years"
516,"Credit Suisse AG","< 1 year"
517,"American Institute for Foreign Studies","1 year"
518,"Austin Home Base Community School","2 years"
519,"Straub Clinic & Hospital","5 years"
520,"Jimmy John's","1 year"
521,"Kevin Leong","2 years"
522,"Ohio Public Employees Retirement System","5 years"
523,"Sutter health. Eden/Alta bates","7 years"
524,"Batten and Shaw, Inc.","9 years"
525,"NourishLife","2 years"
526,"barley creek","3 years"
527,"American Medic of Charlotte Co.","5 years"
528,"SAIC","10+ years"
529,"Oceans Eleven Casino","10+ years"
530,"Elite line Services","6 years"
531,"DCS, Inc","7 years"
532,"Restoration Heat& Air","7 years"
533,"City Of Seattle","5 years"
534,"Waste Industries","7 years"
535,"ppc","7 years"
536,"Dept. of Social Services","2 years"
537,"Tanner Medical Center","10+ years"
538,"Infinite Systems Services Incorporated","3 years"
539,"Northrop Grumman","4 years"
540,"Self Employed","4 years"
541,"clayton williams energy","10+ years"
542,"Flightline","2 years"
543,"Royalty Limousines","7 years"
544,"sorrell dev","6 years"
545,"SMG Search","1 year"
546,"Liquid Gold Well Service","3 years"
547,"Wal-Mart","< 1 year"
548,"Five Guys","< 1 year"
549,"Alliance Audio Visual","1 year"
550,"WALMART","5 years"
551,"Walt Disney World Resorts","5 years"
552,"Marriott International","7 years"
553,"lotus marketing group","< 1 year"
554,"REC Solar","< 1 year"
555,"Sprint","< 1 year"
556,"Merritt's Ace Hardware","1 year"
557,"Whitman Financial Services","10+ years"
558,"Jackson Independent School System","10+ years"
559,"Home Depot","7 years"
560,"Standard Courier","10+ years"
561,"Betts Express","4 years"
562,"ICF International","< 1 year"
563,"Area Agency on Aging","10+ years"
564,"Millercoors","< 1 year"
565,"Keller ISD","1 year"
566,"RPi Electric","1 year"
567,"LOCKHEED MARTIN CORPORATION","10+ years"
568,"RF Technologies","10+ years"
569,"A.L.Ayala Roofing co.inc.","10+ years"
570,"self","10+ years"
571,"con edison","10+ years"
572,"Ericsson","10+ years"
573,"Leggette, Brashears & Graham, Inc.","10+ years"
574,"Bourough of Butler","10+ years"
575,"Raleigh-Durham Airport Authority","10+ years"
576,"Hackley School","10+ years"
577,"Ezee car wash","10+ years"
578,"Costco Wholesale","10+ years"
579,"Housing Authority of CityNew Britain","10+ years"
580,"CITY OF RUNAWAY BAY","10+ years"
581,"AgnetSolid","2 years"
582,"Amphora, Inc.","2 years"
583,"iLumen, Inc.","2 years"
584,"Colonial Heights City Schools","3 years"
585,"JBL Professional","3 years"
586,"CableVision","3 years"
587,"University of Chicago","4 years"
588,"Bank of America","6 years"
589,"Twin Distributing, Inc","6 years"
590,"Global Parcel Service","6 years"
591,"okanogan co pud","7 years"
592,"United States District Court","7 years"
593,"Equifax Inc","7 years"
594,"Walton County Public School","8 years"
595,"Ingram Insurance Agency","8 years"
596,"Controlled Automation","9 years"
597,"AAR Airlift","< 1 year"
598,"Merchants & Farmers Bank","< 1 year"
599,"Mckesson","< 1 year"
600,"RAFFERTY SUBARU","< 1 year"
601,"U.S. Air Force","1 year"
602,"O T Plus, Inc","10+ years"
603,"Indian Health Services","10+ years"
604,"Kiwiplan Inc","10+ years"
605,"D&R Electric","10+ years"
606,"Chicago Franchise Systems","3 years"
607,"","5 years"
608,"ICF International","5 years"
609,"Town of Mansfield","6 years"
610,"Ferguson-Florissant School District","6 years"
611,"Central States Funds","6 years"
612,"Benfield Lighting Inc.","6 years"
613,"Housing Authority of the City of Tulsa","7 years"
614,"First Republic bank","8 years"
615,"USDA","< 1 year"
616,"Palm Valley Church","< 1 year"
617,"Home Depot","1 year"
618,"Lumension Security","1 year"
619,"pelican products","10+ years"
620,"Master Pitching Machine","10+ years"
621,"Examinetics","3 years"
622,"Marshalls","4 years"
623,"Federal Aviation Administration","4 years"
624,"wrymark","5 years"
625,"State Farm","7 years"
626,"Quality Nissan","8 years"
627,"Schaedler Yesco","< 1 year"
628,"BRIGGS ELECTRIC INC.","3 years"
629,"RGA Wealth Management","10+ years"
630,"","9 years"
631,"DA Heating","9 years"
632,"Milwaukee School of Engineering","10+ years"
633,"stanislaus county","3 years"
634,"okonite cables","4 years"
635,"McCook Cold Storage","4 years"
636,"St. Tammany Parish Hospital","6 years"
637,"lowes","7 years"
638,"Midwest Transit Equipment of MI","< 1 year"
639,"United States Navy","1 year"
640,"The Physician & Midwife Collaborative Practice","1 year"
641,"Wingate University","2 years"
642,"USPS","5 years"
643,"Wing memorial hospital","7 years"
644,"Mt. Clemens General Hospital","< 1 year"
645,"Army National Guard","10+ years"
646,"Morton Grove School District 70","2 years"
647,"SSJID","6 years"
648,"Las Vegas Metro Police","6 years"
649,"Andrews Restaurant Supply","4 years"
650,"self","10+ years"
651,"SOUTHEAST KANSAS EDUCATION SERVICE CENTE","9 years"
652,"Alameda Co Health Dept","10+ years"
653,"Department of Defense","3 years"
787,"Adrian Yi","< 1 year"
654,"University of Maryland Medical Center","5 years"
655,"SGT","7 years"
656,"Besteway Recycling","< 1 year"
657,"MENGESROLLER.COM","10+ years"
658,"Carabin & Shaw, P.C.","5 years"
659,"Smith Drug","6 years"
660,"Comsys","< 1 year"
661,"Berkeley SD 87","10+ years"
662,"Charlotte Jet, inc.","4 years"
663,"LAWS ELECTRONCS","10+ years"
664,"Coalinga State Hospital","2 years"
665,"Project IMPACT","2 years"
666,"Columbus State Uni.","8 years"
667,"Children's Discovery Center","< 1 year"
668,"Luxury Yacht Group","< 1 year"
669,"Delta Transport","< 1 year"
670,"mandile fruit co","< 1 year"
671,"Sears","10+ years"
672,"SouthWest Express","7 years"
673,"Verizon","10+ years"
674,"SAM'S TOWN HOTEL","10+ years"
675,"Golden Artist colors","6 years"
676,"Lion Sleep Labs","< 1 year"
677,"osram sylvania","2 years"
678,"Island Pump & Tank","6 years"
679,"Devan Acura","2 years"
680,"Self","10+ years"
681,"pilgrims","10+ years"
682,"Kellogg, Brown, and Root","3 years"
683,"Millen United Methodist Church","1 year"
684,"USPS","1 year"
685,"Bank of America","10+ years"
686,"Access Insurance","2 years"
687,"shields nursing center","2 years"
688,"Thirteen23 Corp","2 years"
689,"Towne Park","2 years"
690,"Gensler","2 years"
691,"Rosenbauer General Safety","2 years"
692,"Law Office of Jillian Sidoti","2 years"
693,"Chesapeake Medical Staffing","2 years"
694,"Stape & Gebeloff","3 years"
695,"Northwest Landscaping Inc.","3 years"
696,"PROVIDENCE EMILY COURT","4 years"
697,"Environ-Civil Engineering Ltd.","4 years"
698,"Business Techonolgy Solutions","5 years"
699,"Rex Direct Net, Inc.","5 years"
700,"transportation security administration","5 years"
701,"J. Alexanders","5 years"
702,"Microbiology International","7 years"
703,"GACHINA LANDSCAPING","7 years"
704,"Foundation Capital","< 1 year"
705,"WZ Elkins","< 1 year"
706,"Dynamic Paint Solutions","< 1 year"
707,"Lawrys","< 1 year"
708,"Visual Elements","< 1 year"
709,"Dept. of Homeland Security","< 1 year"
710,"Convert2Media LLC","6 years"
711,"The Green Solution","< 1 year"
712,"usmc","< 1 year"
713,"Pernix Therapeutics Holdings, Inc.","< 1 year"
714,"State of Minnesota","1 year"
715,"Home Depot","3 years"
716,"Serra Manufactoring","5 years"
717,"Brown and Caldwell","< 1 year"
718,"Sunbelt Staffing","< 1 year"
719,"medco health solutions","1 year"
720,"Abercrombie & Fitch","10+ years"
721,"ASML","4 years"
722,"CPSI","8 years"
723,"Advantage Data  Inc.","< 1 year"
724,"ETSNA","< 1 year"
725,"Yavapai College","< 1 year"
726,"Camin Cargo Control","< 1 year"
727,"Hydra Force Inc.","< 1 year"
728,"Z-Wireless Verizon Wireless Premium Reta","< 1 year"
729,"Hyundai Marine & Fire Insurance Co, Ltd","1 year"
730,"Disneyland-Sodexo","1 year"
731,"AMR Group","1 year"
732,"Denver Water","1 year"
733,"City of Davis","10+ years"
734,"MJ Tank Lines","2 years"
735,"Sharp Automotive","2 years"
736,"McClain & Co.","2 years"
737,"Invesco","3 years"
738,"Actionecho","3 years"
739,"Tobyhanna Army Depot","3 years"
740,"U.S. Navy","3 years"
741,"Knight transportation","3 years"
742,"bike america","4 years"
743,"David Fong, D.D.S.","6 years"
744,"awnings by bill lioyd llc","< 1 year"
745,"Santaro Trucking Co","< 1 year"
746,"Travis Central Appraisal District","< 1 year"
747,"","10+ years"
748,"MillenWorks","2 years"
749,"US Army","7 years"
750,"USAF","8 years"
751,"Ricks Electric","2 years"
752,"US Army","2 years"
753,"Mattress Firm","3 years"
754,"kohls","4 years"
755,"Formula Public Relations","< 1 year"
756,"Frank Felino Architect","< 1 year"
757,"W Hotel","< 1 year"
758,"Perkins","4 years"
759,"Pepsi Bottling Company","3 years"
760,"Netjets Aviation Inc.","4 years"
761,"N W Service Enterprises INC","< 1 year"
762,"Titanium Metals Corporation","< 1 year"
763,"Owens Corning","1 year"
764,"Reno iPhone iPod Repair","3 years"
765,"Advanced Technology Services","< 1 year"
766,"pizza hut","1 year"
767,"Group Acumen","3 years"
768,"Kellwood Company","1 year"
769,"TEL EXCEL INC","1 year"
770,"Miami air international","10+ years"
771,"Seapointe","2 years"
772,"","2 years"
773,"ABM/Cushman Wakefield","4 years"
774,"NDS Americas","9 years"
775,"Injured Workers Pharmacy","2 years"
776,"M.L. Wisner","3 years"
777,"OvS","1 year"
778,"Hi Lex Controls, Inc","4 years"
779,"Diocese of Long Island","8 years"
780,"Hudson Health Plan","< 1 year"
781,"Ted Britt Ford","6 years"
782,"Market City Caffe","< 1 year"
783,"Tifanny & Company","2 years"
784,"Groupon, Inc","< 1 year"
785,"Superior Mobile Medics","4 years"
786,"Sporty's Pub","< 1 year"
788,"Thunderbird Adventist Academy","1 year"
789,"Brother Martin High School","1 year"
790,"Kroger Co","4 years"
791,"FLYNG STAR CAFE","4 years"
792,"The Art Institute of Phoenix","< 1 year"
793,"Great Reunions","10+ years"
794,"Sierra Nevada Corp","2 years"
795,"Harchuck Construction","10+ years"
796,"VENTURE MECHANICAL, INC.","3 years"
797,"Illinois Transport inc.","8 years"
798,"Kimsey & DeBari, P.A.","4 years"
