"member_id","state_id","emp_id","annual_income","dti","home_ownership"
853863,133,133,65000,0.1429,"MORTGAGE"
901168,134,134,72000,0.0217,"MORTGAGE"
780895,135,135,123000,0.234,"MORTGAGE"
826524,136,136,110000,0.0524,"MORTGAGE"
987587,137,137,48000,0.109,"MORTGAGE"
1076434,138,138,77040,0.205,"MORTGAGE"
1040609,139,139,60000,0.2712,"MORTGAGE"
922378,140,140,40560,0.0737,"MORTGAGE"
948842,141,141,60000,0.15,"MORTGAGE"
1269489,142,142,54960,0.1085,"MORTGAGE"
920343,143,143,84000,0.1734,"MORTGAGE"
959469,144,144,65000,0.1927,"MORTGAGE"
421436,145,145,50004,0.101,"MORTGAGE"
565159,146,146,52000,0.0909,"MORTGAGE"
1260425,147,147,115000,0.0271,"MORTGAGE"
436823,148,148,99996,0.0432,"MORTGAGE"
1015737,149,149,60000,0.2096,"MORTGAGE"
1274416,150,150,45000,0.1632,"MORTGAGE"
888953,151,151,40000,0.1041,"MORTGAGE"
957278,152,152,55000,0.1647,"MORTGAGE"
906743,153,153,72000,0.1887,"MORTGAGE"
596860,154,154,75000,0.0173,"MORTGAGE"
965621,155,155,85000,0.0476,"MORTGAGE"
711857,156,156,70000,0.101,"MORTGAGE"
855127,157,157,48000,0.104,"MORTGAGE"
656465,158,158,73400,0.0281,"MORTGAGE"
913732,159,159,68800,0.1387,"MORTGAGE"
899636,160,160,40000,0.0885,"MORTGAGE"
992748,161,161,65500,0.2255,"MORTGAGE"
766903,162,162,52800,0.1527,"MORTGAGE"
1211442,163,163,60000,0.0858,"MORTGAGE"
845559,164,164,105000,0.0514,"MORTGAGE"
1236893,165,165,60000,0.1446,"MORTGAGE"
616593,166,166,52000,0.1452,"MORTGAGE"
625184,167,167,69000,0.2297,"MORTGAGE"
1251195,168,168,76800,0.1034,"MORTGAGE"
1256261,169,169,70000,0.2038,"MORTGAGE"
585294,170,170,60000,0.1276,"MORTGAGE"
934676,171,171,99400,0.089,"MORTGAGE"
1049845,172,172,96000,0.016,"MORTGAGE"
825145,173,173,95000,0.0728,"MORTGAGE"
660596,174,174,45000,0.048,"MORTGAGE"
1050351,175,175,60000,0.0188,"MORTGAGE"
593497,176,176,72000,0.2152,"MORTGAGE"
1017727,177,177,80000,0.1452,"MORTGAGE"
759924,178,178,38400,0.1072,"MORTGAGE"
624789,179,179,52000,0.1048,"MORTGAGE"
650279,180,180,100000,0.0803,"MORTGAGE"
817666,181,181,70000,0.0807,"MORTGAGE"
815592,182,182,51000,0.0137,"MORTGAGE"
1027019,183,183,41664,0.1529,"MORTGAGE"
773056,184,184,97000,0.1018,"MORTGAGE"
977451,185,185,68000,0.0145,"MORTGAGE"
423921,186,186,52700,0.1724,"MORTGAGE"
1037146,187,187,55000,0.1462,"MORTGAGE"
541920,188,188,45000,0.1139,"MORTGAGE"
612600,189,189,58000,0.0989,"MORTGAGE"
1222660,190,190,80796,0.1019,"MORTGAGE"
1108628,191,191,30000,0.092,"MORTGAGE"
948466,192,192,73440,0.0559,"MORTGAGE"
356975,193,193,26796,0.0658,"MORTGAGE"
1262713,194,194,47500,0.1976,"MORTGAGE"
538542,195,195,79000,0.0317,"MORTGAGE"
1104499,196,196,49536,0.0908,"MORTGAGE"
997991,197,197,96000,0.1465,"MORTGAGE"
979595,198,198,69600,0.131,"MORTGAGE"
1201393,199,199,84554.16,0.1524,"MORTGAGE"
849849,200,200,90000,0.1035,"MORTGAGE"
658773,201,201,85000,0.1276,"MORTGAGE"
743854,202,202,35100,0.1593,"MORTGAGE"
1000505,203,203,45600,0.1605,"MORTGAGE"
844598,204,204,81504,0.2488,"MORTGAGE"
1064045,205,205,97000,0.0878,"MORTGAGE"
694760,206,206,57000,0.1166,"MORTGAGE"
535793,207,207,102996,0.1547,"MORTGAGE"
963690,208,208,60000,0.026,"MORTGAGE"
791294,209,209,66560,0.0757,"MORTGAGE"
1230821,210,210,124800,0.1124,"MORTGAGE"
763931,211,211,120000,0.211,"MORTGAGE"
743084,212,212,97200,0.0877,"MORTGAGE"
451034,213,213,100000,0.096,"MORTGAGE"
778911,214,214,60000,0.0398,"MORTGAGE"
1281827,215,215,60000,0.1984,"MORTGAGE"
987239,216,216,44000,0.0982,"MORTGAGE"
1195465,217,217,54000,0.2227,"MORTGAGE"
397032,218,218,105000,0.1409,"MORTGAGE"
934744,219,219,71040,0.0764,"MORTGAGE"
735661,220,220,22000,0.1309,"MORTGAGE"
715619,221,221,66000,0.1149,"MORTGAGE"
724759,222,222,88000,0.0068,"MORTGAGE"
786442,223,223,90000,0.0913,"MORTGAGE"
748779,224,224,60000,0.2288,"MORTGAGE"
775520,225,225,60000,0.0764,"MORTGAGE"
970363,226,226,65000,0.0762,"MORTGAGE"
802616,227,227,40000,0.1929,"MORTGAGE"
617757,228,228,131000,0.2183,"MORTGAGE"
1059082,229,229,57600,0.1731,"MORTGAGE"
933143,230,230,96000,0.2493,"MORTGAGE"
607608,231,231,31200,0.1123,"MORTGAGE"
978668,232,232,76800,0.1775,"MORTGAGE"
884903,233,233,75000,0.1704,"MORTGAGE"
990554,234,234,39000,0.0231,"MORTGAGE"
511576,235,235,65200,0.1721,"MORTGAGE"
1230766,236,236,83000,0.1865,"MORTGAGE"
395889,237,237,62851,0.0903,"MORTGAGE"
864190,238,238,54996,0.0539,"MORTGAGE"
992800,239,239,56160,0.0549,"MORTGAGE"
632851,240,240,45000,0.1125,"MORTGAGE"
722341,241,241,120000,0.1896,"MORTGAGE"
815649,242,242,99750,0.0729,"MORTGAGE"
1267588,243,243,108000,0.0964,"MORTGAGE"
784596,244,244,48000,0.2402,"MORTGAGE"
713865,245,245,90000,0.1532,"MORTGAGE"
984137,246,246,70000,0.2309,"MORTGAGE"
834488,247,247,46800,0.1459,"MORTGAGE"
900219,248,248,150000,0.0465,"MORTGAGE"
390612,249,249,120000,0.1451,"MORTGAGE"
1040782,250,250,100000,0.1268,"MORTGAGE"
618278,251,251,41000,0.106,"MORTGAGE"
638159,252,252,45000,0.1,"MORTGAGE"
296474,253,253,99000,0.0886,"MORTGAGE"
567415,254,254,29000,0.0691,"MORTGAGE"
988157,255,255,105000,0.2058,"MORTGAGE"
1097939,256,256,78000,0.2128,"MORTGAGE"
370454,257,257,92904,0.198,"MORTGAGE"
542120,258,258,150000,0.025,"MORTGAGE"
662623,259,259,80000,0.1761,"MORTGAGE"
887830,260,260,57600,0.1429,"MORTGAGE"
693209,261,261,46140,0.1165,"MORTGAGE"
505430,262,262,15000,0.1528,"MORTGAGE"
932478,263,263,144000,0.0961,"MORTGAGE"
570794,264,264,100000,0.0895,"MORTGAGE"
928636,265,265,44400,0.0492,"MORTGAGE"
634592,266,266,53000,0.1915,"MORTGAGE"
934984,267,267,19200,0.1406,"MORTGAGE"
1191431,268,268,48000,0.118,"MORTGAGE"
1235403,269,269,103000,0.1732,"MORTGAGE"
374794,270,270,130000,0.1106,"MORTGAGE"
998342,271,271,126000,0.1276,"MORTGAGE"
736455,272,272,50000,0.1586,"MORTGAGE"
659194,273,273,42000,0.11,"MORTGAGE"
377327,274,274,55000,0.0676,"OTHER"
707878,275,275,63600,0.2209,"OWN"
596143,276,276,200000,0.0694,"OWN"
1077447,277,277,48000,0.092,"OWN"
1210906,278,278,53000,0.0335,"OWN"
849947,279,279,42300,0.1447,"OWN"
370824,280,280,75000,0.1781,"OWN"
972813,281,281,28000,0.1393,"OWN"
998690,282,282,42000,0.0177,"OWN"
771025,283,283,48000,0.1115,"OWN"
941999,284,284,33600,0.1368,"OWN"
756206,285,285,65000,0.2494,"OWN"
1095196,286,286,19200,0.0225,"OWN"
893426,287,287,14400,0.1517,"OWN"
795814,288,288,39600,0.0806,"OWN"
1259806,289,289,48000,0.0775,"OWN"
980621,290,290,41000,0.0808,"OWN"
454370,291,291,40000,0.1323,"OWN"
1063721,292,292,40000,0.1161,"OWN"
418858,293,293,48000,0.1207,"OWN"
869236,294,294,31577,0.0821,"OWN"
409174,295,295,29280,0.0725,"OWN"
593144,296,296,109000,0.058,"OWN"
601235,297,297,74400,0.0426,"OWN"
1046913,298,298,50000,0.2102,"OWN"
877274,299,299,102000,0.1242,"OWN"
600698,300,300,70000,0.0792,"OWN"
926657,301,301,100000,0.1464,"OWN"
932157,302,302,120000,0.2412,"OWN"
618879,303,303,52000,0.1011,"OWN"
647818,304,304,58000,0.1128,"OWN"
949275,305,305,43200,0.0936,"OWN"
595463,306,306,140000,0.242,"OWN"
919104,307,307,16800,0.0471,"OWN"
1273265,308,308,26000,0.0711,"OWN"
599104,309,309,12000,0.17,"OWN"
726033,310,310,50000,0.0151,"OWN"
1003052,311,311,36000,0.0587,"OWN"
582181,312,312,24300,0.0099,"OWN"
573959,313,313,62000,0.0805,"OWN"
906620,314,314,49200,0.0402,"OWN"
631696,315,315,50000,0.1409,"OWN"
460293,316,316,18720,0.2083,"OWN"
596465,317,317,124000,0.0825,"OWN"
596215,318,318,130000,0.0788,"OWN"
595963,319,319,120000,0.0851,"OWN"
881044,320,320,36000,0.247,"OWN"
491642,321,321,31193,0,"OWN"
428101,322,322,22000,0.1975,"OWN"
391952,323,323,25000,0.1238,"OWN"
594840,324,324,48000,0.0085,"OWN"
749595,325,325,38500,0.0549,"RENT"
948621,326,326,71040,0.0275,"RENT"
1015921,327,327,65000,0.0052,"RENT"
442399,328,328,42000,0.0997,"RENT"
516330,329,329,42312,0.1211,"RENT"
769311,330,330,50000,0.0883,"RENT"
1049091,331,331,50000,0.1284,"RENT"
618122,332,332,52300,0.0376,"RENT"
799645,333,333,45000,0.2216,"RENT"
751369,334,334,140000,0.0796,"RENT"
860102,335,335,30000,0.0024,"RENT"
1099330,336,336,26400,0.1709,"RENT"
951674,337,337,70000,0.0777,"RENT"
1019162,338,338,60000,0.0622,"RENT"
850593,339,339,110500,0.0968,"RENT"
942327,340,340,42000,0.1331,"RENT"
403074,341,341,30000,0.008,"RENT"
416411,342,342,23198,0.0895,"RENT"
835549,343,343,70000,0.0427,"RENT"
961133,344,344,110000,0.0693,"RENT"
357323,345,345,31000,0.085,"RENT"
604357,346,346,84000,0.0913,"RENT"
927319,347,347,30000,0.072,"RENT"
1011709,348,348,35000,0.1282,"RENT"
1109494,349,349,80000,0.1425,"RENT"
874733,350,350,47000,0.1006,"RENT"
942686,351,351,34200,0.0242,"RENT"
850858,352,352,65000,0.0414,"RENT"
458437,353,353,98000,0.0277,"RENT"
1033127,354,354,68500,0.0519,"RENT"
939281,355,355,36000,0.0567,"RENT"
877916,356,356,60000,0.2162,"RENT"
862606,357,357,14400,0.0208,"RENT"
414464,358,358,189996,0.0105,"RENT"
848574,359,359,43300,0.051,"RENT"
766062,360,360,8004,0.087,"RENT"
898423,361,361,36000,0.0787,"RENT"
974641,362,362,27000,0.052,"RENT"
1071722,363,363,84000,0.1194,"RENT"
961022,364,364,45600,0.2211,"RENT"
920749,365,365,60000,0.069,"RENT"
974139,366,366,39336,0.1293,"RENT"
1019037,367,367,42000,0.2183,"RENT"
1227186,368,368,69000,0.1108,"RENT"
679135,369,369,52000,0.051,"RENT"
904859,370,370,40000,0.1923,"RENT"
602264,371,371,60495,0.1343,"RENT"
1003659,372,372,48000,0.1865,"RENT"
595082,373,373,130000,0.0498,"RENT"
602508,374,374,70000,0.0211,"RENT"
1223530,375,375,112440,0.1411,"RENT"
435726,376,376,42000,0.0657,"RENT"
433009,377,377,36300,0.0093,"RENT"
847753,378,378,42000,0.1631,"RENT"
491508,379,379,16000,0,"RENT"
745351,380,380,40000,0.2022,"RENT"
552711,381,381,25000,0.072,"RENT"
1265281,382,382,53000,0.1723,"RENT"
596653,383,383,73000,0.0044,"RENT"
834068,384,384,44000,0.0297,"RENT"
651233,385,385,37315,0.0119,"RENT"
595085,386,386,74500,0.1638,"RENT"
554033,387,387,30000,0.0668,"RENT"
938040,388,388,74400,0.1365,"RENT"
422393,389,389,70500,0.1711,"RENT"
922807,390,390,53196,0.166,"RENT"
807060,391,391,70000,0.0185,"RENT"
750023,392,392,30000,0.0568,"RENT"
349026,393,393,44500,0.0777,"RENT"
929259,394,394,66000,0.0095,"RENT"
708032,395,395,52800,0.1139,"RENT"
894687,396,396,24000,0.056,"RENT"
814771,397,397,25200,0.0371,"RENT"
422006,398,398,24000,0,"RENT"
517674,399,399,75400,0.1286,"RENT"
366625,400,400,40000,0.0648,"RENT"
361181,401,401,21000,0.0171,"RENT"
448561,402,402,70004,0.0756,"RENT"
1083658,403,403,36000,0.2487,"RENT"
997144,404,404,81600,0.0847,"RENT"
434505,405,405,37050,0.1263,"RENT"
449570,406,406,45000,0.0536,"RENT"
616092,407,407,58000,0.1186,"RENT"
390093,408,408,60000,0.0178,"RENT"
772276,409,409,21000,0.2286,"RENT"
594630,410,410,34000,0.0646,"RENT"
590940,411,411,89000,0.01,"RENT"
785477,412,412,25000,0.1666,"RENT"
732666,413,413,60000,0.1038,"RENT"
700814,414,414,45000,0.0523,"RENT"
1010746,415,415,165996,0.0348,"RENT"
1053961,416,416,60000,0.1254,"RENT"
750832,417,417,32000,0.2254,"RENT"
582795,418,418,48000,0.1635,"RENT"
733441,419,419,28150,0.1364,"RENT"
388091,420,420,39996,0.0918,"RENT"
1038058,421,421,45000,0.1064,"RENT"
1040357,422,422,96000,0.0143,"RENT"
1036798,423,423,30000,0.0796,"RENT"
667620,424,424,30000,0.0424,"RENT"
448884,425,425,54996,0.1189,"RENT"
1241339,426,426,54000,0.1527,"RENT"
954015,427,427,15000,0.0584,"RENT"
999258,428,428,46151.04,0.1108,"RENT"
624526,429,429,31000,0.077,"RENT"
865682,430,430,116400,0.0228,"RENT"
870699,431,431,63500,0.155,"RENT"
1226747,432,432,125000,0.0787,"RENT"
568335,433,433,36000,0.005,"RENT"
634654,434,434,95000,0.0128,"RENT"
1096963,435,435,51600,0.146,"RENT"
1017070,436,436,47000,0.1014,"RENT"
645434,437,437,75000,0.1054,"RENT"
820864,438,438,49000,0.1435,"RENT"
447614,439,439,27996,0.147,"RENT"
574141,440,440,12000,0.06,"RENT"
1002865,441,441,36000,0.1153,"RENT"
1188457,442,442,25000,0.0614,"RENT"
1209489,443,443,44760,0.0416,"RENT"
656090,444,444,57000,0.1855,"RENT"
420501,445,445,36000,0.2033,"RENT"
349851,446,446,65004,0.0155,"RENT"
392123,447,447,36100,0.014,"RENT"
360932,448,448,22000,0.09,"RENT"
536216,449,449,57996,0.0048,"RENT"
616749,450,450,48659,0.0683,"RENT"
944419,451,451,46200,0.1112,"RENT"
535632,452,452,20000,0.0312,"RENT"
640599,453,453,50000,0.137,"RENT"
799415,454,454,48000,0.0893,"RENT"
548440,455,455,60000,0.0282,"RENT"
854631,456,456,56000,0.2164,"RENT"
593697,457,457,28000,0.2105,"RENT"
783808,458,458,52000,0.0623,"RENT"
484841,459,459,30000,0.054,"RENT"
575227,460,460,15600,0.2369,"RENT"
543489,461,461,75000,0.1415,"RENT"
655976,462,462,46344,0.1139,"RENT"
1246948,463,463,45000,0.092,"RENT"
610554,464,464,66000,0.1842,"RENT"
350763,465,465,60000,0.1434,"RENT"
557659,466,466,13440,0.0205,"RENT"
823060,467,467,60000,0.06,"RENT"
913586,468,468,68000,0.1184,"RENT"
938523,469,469,32000,0.0836,"RENT"
1028341,470,470,35000,0.2568,"RENT"
925837,471,471,52000,0.2165,"RENT"
949517,472,472,24000,0.019,"RENT"
804561,473,473,50000,0.1603,"RENT"
603653,474,474,24000,0.2175,"RENT"
571384,475,475,57000,0.1128,"RENT"
554017,476,476,61000,0.0329,"RENT"
444228,477,477,58000,0.1541,"RENT"
1044140,478,478,35000,0.1413,"RENT"
1274808,479,479,24500,0.0338,"RENT"
499463,480,480,35400,0.2115,"RENT"
496747,481,481,65000,0.1165,"RENT"
415486,482,482,40000,0.009,"RENT"
494016,483,483,30000,0.2284,"RENT"
511552,484,484,48000,0.2051,"RENT"
355104,485,485,48000,0.1477,"RENT"
678537,486,486,31200,0.0769,"RENT"
315589,487,487,78000,0.13,"RENT"
1271130,488,488,108000,0.0683,"RENT"
930805,489,489,50000,0.0377,"RENT"
769354,490,490,60000,0.1762,"RENT"
743115,491,491,48000,0.1855,"RENT"
708750,492,492,60000,0.0734,"RENT"
650989,493,493,55000,0.1588,"RENT"
718339,494,494,28800,0.1404,"RENT"
850277,495,495,138000,0.0123,"RENT"
1212114,496,496,20400,0.1241,"RENT"
864390,497,497,38000,0.0117,"RENT"
518590,498,498,19000,0.2305,"RENT"
512743,499,499,7000,0.1354,"RENT"
439999,500,500,15000,0.1528,"RENT"
1282623,501,501,29000,0.0277,"RENT"
413399,502,502,54996,0.0559,"RENT"
900107,503,503,48000,0.005,"RENT"
994637,504,504,33000,0.1745,"RENT"
603322,505,505,38896,0.112,"RENT"
1090999,506,506,35550,0.1063,"RENT"
1067817,507,507,58000,0.0846,"RENT"
992893,508,508,86095,0.1146,"RENT"
1268402,509,509,150000,0.1691,"RENT"
691548,510,510,42000,0.138,"RENT"
754183,511,511,28800,0.1108,"RENT"
351284,512,512,32000,0.0476,"RENT"
813659,513,513,60000,0.0974,"RENT"
614622,514,514,90000,0.176,"RENT"
424810,515,515,73500,0.1843,"RENT"
620261,516,516,75000,0.0186,"RENT"
511819,517,517,36500,0.1858,"RENT"
1097347,518,518,22200,0.1259,"RENT"
663828,519,519,38918.4,0.0839,"RENT"
543556,520,520,15000,0.068,"RENT"
424846,521,521,43004,0.127,"RENT"
768919,522,522,47360,0.0537,"RENT"
605844,523,523,48000,0.0492,"RENT"
622716,524,524,70200,0.2021,"RENT"
620789,525,525,30000,0.2229,"RENT"
625341,526,526,14400,0,"RENT"
615829,527,527,36000,0.189,"RENT"
408375,528,528,144000,0.0435,"RENT"
713608,529,529,36000,0.072,"RENT"
696564,530,530,51500,0.1456,"MORTGAGE"
488611,531,531,36500,0.0033,"MORTGAGE"
879897,532,532,28800,0.0771,"MORTGAGE"
938819,533,533,81120,0.1843,"MORTGAGE"
1063271,534,534,54000,0.1649,"MORTGAGE"
1002476,535,535,64800,0.1502,"MORTGAGE"
947424,536,536,40000,0.141,"MORTGAGE"
1279208,537,537,70000,0.1517,"MORTGAGE"
423034,538,538,40000,0.0966,"MORTGAGE"
857007,539,539,72000,0.1542,"MORTGAGE"
775015,540,540,225000,0.0538,"MORTGAGE"
1001638,541,541,55600,0,"OWN"
812849,542,542,70000,0.1797,"OWN"
984845,543,543,48000,0.188,"RENT"
765611,544,544,40000,0.1824,"RENT"
420926,545,545,65004,0.0277,"MORTGAGE"
995287,546,546,78644,0.275,"MORTGAGE"
1055952,547,547,39660,0.1165,"MORTGAGE"
1236819,548,548,47000,0.2252,"MORTGAGE"
988495,549,549,42000,0.1091,"MORTGAGE"
886842,550,550,30000,0.1892,"RENT"
746376,551,551,27600,0.1535,"RENT"
1250948,552,552,42494,0.1065,"RENT"
916871,553,553,14400,0.1592,"RENT"
1274483,554,554,42816,0.0188,"RENT"
1233435,555,555,31700,0.0201,"RENT"
1199242,556,556,18000,0.2043,"RENT"
760997,557,557,29040,0.0308,"RENT"
948165,558,558,45314,0.223,"RENT"
1045471,559,559,31400,0.1896,"RENT"
454633,560,560,30000,0.0208,"RENT"
731438,561,561,36000,0.0743,"RENT"
1057404,562,562,46000,0.1156,"RENT"
1189788,563,563,31000,0.2059,"MORTGAGE"
1010890,564,564,65964,0.2059,"MORTGAGE"
1029234,565,565,46000,0.1672,"MORTGAGE"
900645,566,566,75000,0.149,"MORTGAGE"
887348,567,567,126000,0.0674,"MORTGAGE"
1045560,568,568,22000,0.2416,"MORTGAGE"
857335,569,569,69900,0.0436,"MORTGAGE"
1219346,570,570,240000,0.1631,"MORTGAGE"
1196316,571,571,90000,0.0708,"MORTGAGE"
1203021,572,572,100000,0.1122,"MORTGAGE"
1088327,573,573,98400,0.0672,"MORTGAGE"
1278767,574,574,86400,0.0732,"MORTGAGE"
1022811,575,575,40000,0.0204,"MORTGAGE"
969289,576,576,87600,0.1667,"MORTGAGE"
1192296,577,577,49200,0.05,"MORTGAGE"
918757,578,578,94128,0.1943,"MORTGAGE"
819057,579,579,88000,0.2482,"MORTGAGE"
1187115,580,580,62400,0.1144,"MORTGAGE"
1235893,581,581,67200,0.1534,"MORTGAGE"
1273525,582,582,249999.96,0.0465,"MORTGAGE"
635775,583,583,45996,0.0765,"MORTGAGE"
844184,584,584,55000,0.041,"MORTGAGE"
781571,585,585,42000,0.0374,"MORTGAGE"
943643,586,586,150600,0.1215,"MORTGAGE"
867842,587,587,198171.96,0.1474,"MORTGAGE"
1097226,588,588,72000,0.1907,"MORTGAGE"
882637,589,589,51000,0.0647,"MORTGAGE"
989733,590,590,144000,0.1082,"MORTGAGE"
1104183,591,591,72000,0.0127,"MORTGAGE"
1089326,592,592,62000,0.1711,"MORTGAGE"
1005809,593,593,172000,0.0106,"MORTGAGE"
788684,594,594,48000,0.0445,"MORTGAGE"
920962,595,595,54000,0.2084,"MORTGAGE"
882073,596,596,90000,0.1223,"MORTGAGE"
1212690,597,597,180000,0.1116,"MORTGAGE"
988146,598,598,28800,0.1546,"MORTGAGE"
1210745,599,599,60000,0.1056,"MORTGAGE"
1232855,600,600,96000,0.0019,"MORTGAGE"
805748,601,601,54000,0.1529,"MORTGAGE"
1092979,602,602,240000,0.0575,"MORTGAGE"
821679,603,603,52500,0.2448,"MORTGAGE"
968324,604,604,113676,0.2298,"MORTGAGE"
522162,605,605,75000,0.0285,"MORTGAGE"
803117,606,606,136000,0.02,"MORTGAGE"
